PassengerId,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,not_alone
965,3,1,1,0,1,1,7.05415,5,0
966,3,0,1,0,2,1,7.2271,4,0
967,3,0,0,0,1,0,56.4958,6,1
968,2,0,1,0,1,1,13,5,0
969,1,0,0,0,2,0,26.55,6,1
970,2,0,0,0,1,0,13,4,1
971,2,0,0,0,2,0,15.5792,5,1
972,3,0,0,0,1,0,8.05,6,1
973,1,0,1,0,2,1,73.2604,5,0
974,3,0,0,0,1,0,8.6625,6,1
975,3,0,0,0,1,0,7.8958,5,1
976,3,0,0,0,1,0,7.125,5,1
977,1,0,0,1,2,1,123.7604,5,0
978,3,0,0,0,1,0,9.5,6,1
979,1,0,0,0,1,0,26.55,2,1
980,2,0,1,1,1,2,8.666666667,5,0
981,3,0,0,0,1,0,8.05,7,1
982,3,1,0,0,1,0,8.9625,5,1
983,3,1,8,2,1,10,6.322727273,5,0
984,3,0,0,0,1,0,8.05,6,1
985,3,1,0,1,1,1,6.2375,4,0
986,3,1,1,0,3,1,12.075,5,0
987,3,0,0,0,1,0,8.6625,5,1
988,3,0,1,1,1,2,5.3,5,0
989,2,0,1,0,1,1,13,3,0
990,1,0,1,0,2,1,54.45,6,0
991,3,0,0,0,2,0,7.225,6,1
992,3,0,0,0,1,0,9,5,1
993,2,0,0,0,1,0,13,5,1
994,2,0,0,0,1,0,10.5,4,1
995,2,1,0,0,1,0,10.5,5,1
996,1,0,0,0,1,0,39.6,5,1
997,2,1,1,0,2,1,19.8,6,0
998,3,1,0,0,1,0,9.8417,5,1
999,1,1,0,1,1,1,19.7,5,0
1000,1,0,0,0,1,0,47.1,4,1
1001,1,0,1,0,2,1,44.5521,4,0
1002,2,0,0,0,1,0,73.5,5,1
1003,2,1,0,0,1,0,13,4,1
1004,1,1,0,1,2,1,28.9896,3,0
1005,1,1,1,2,1,3,37.8875,1,0
1006,1,0,0,0,2,0,75.2417,6,1
1007,3,1,0,2,3,2,2.583333333,3,0
1008,3,1,0,0,3,0,6.95,3,1
1009,3,0,0,0,1,0,7.8958,3,1
1010,3,1,0,0,1,0,7.925,6,1
1011,1,1,0,2,1,2,8.7611,5,0
1012,3,1,0,0,1,0,7.8542,6,1
1013,3,1,1,0,1,1,9,3,0
1014,3,0,0,0,1,0,8.05,3,1
1015,3,1,1,1,1,2,6.841666667,5,0
1016,1,0,0,0,1,0,50,1,1
1017,3,0,0,0,2,0,7.8958,4,1
1018,3,0,0,0,1,0,7.775,6,1
1019,1,1,1,2,1,3,37.8875,5,0
1020,1,0,1,0,1,1,25.93125,5,0
1021,3,1,1,0,1,1,8.05,5,0
1022,3,1,0,0,3,0,7.75,6,1
1023,3,0,0,0,1,0,7.8958,3,1
1024,3,0,0,0,1,0,7.55,6,1
1025,2,1,0,0,1,0,13,6,1
1026,3,1,4,2,1,6,1.132142857,6,0
1027,1,1,1,0,2,1,27.72085,6,0
1028,1,1,0,0,2,0,227.525,6,1
1029,3,1,1,0,2,1,5.62085,5,0
1030,3,0,0,0,1,0,7.125,5,1
1031,1,1,0,1,2,1,256.1646,3,0
1032,3,0,1,1,2,2,5.081933333,5,0
1033,3,1,0,0,3,0,7.8792,5,1
1034,2,0,0,0,1,0,0,4,1
1035,2,1,0,2,1,2,7.666666667,6,0
1036,3,1,1,0,2,1,7.2271,5,0
1037,2,0,0,0,1,0,10.5,5,1
1038,1,1,1,0,2,1,113.7625,4,0
1039,1,1,0,1,2,1,41.57915,5,0
1040,3,0,1,0,1,1,9.98335,6,0
1041,3,0,0,0,1,0,7.05,6,1
1042,1,1,1,0,1,1,28.5,6,0
1043,2,1,0,2,1,2,10,4,0
1044,1,0,1,0,2,1,13.8604,4,0
1045,2,0,1,0,1,1,13,5,0
1046,2,0,1,0,2,1,12,4,0
1047,3,0,0,0,1,0,7.8875,5,1
1048,3,0,0,0,1,0,8.05,4,1
1049,2,0,0,0,1,0,26,3,1
1050,1,0,1,2,1,3,30,3,0
1051,1,0,1,2,1,3,37.8875,5,0
1052,1,1,1,2,1,3,13,6,0
1053,2,1,0,0,3,0,12.35,3,1
1054,1,0,0,0,2,0,27.75,6,1
1055,2,0,0,0,1,0,13,5,1
1056,3,0,1,0,1,1,3.5229,4,0
1057,1,0,0,0,2,0,29.7,6,1
1058,3,0,0,0,1,0,7.775,5,1
1059,2,0,1,1,1,2,17.51806667,4,0
1060,3,0,0,0,1,0,8.05,5,1
1061,1,0,0,0,2,0,30.5,6,1
1062,3,0,0,0,1,0,8.05,6,1
1063,2,0,0,0,3,0,12.35,5,1
1064,1,0,2,2,2,4,52.475,6,0
1065,3,0,0,0,1,0,15.1,4,1
1066,3,0,0,0,2,0,7.2292,3,1
1067,2,1,0,0,1,0,21,5,1
1068,3,0,0,0,3,0,7.75,6,1
1069,1,1,3,2,1,5,43.83333333,4,0
1070,2,0,0,0,2,0,13.8625,3,1
1071,2,0,0,0,1,0,13,4,1
1072,3,0,0,1,1,1,4.2021,4,0
1073,3,0,0,0,3,0,7.8208,5,1
1074,3,0,2,0,3,2,7.75,2,0
1075,2,0,0,0,1,0,10.5,4,1
1076,3,0,0,0,1,0,7.65,1,1
1077,3,0,0,0,1,0,7.25,4,1
1078,1,1,1,1,1,2,8.85,3,0
1079,2,1,1,0,1,1,13,6,0
1080,3,1,1,0,1,1,7.25,1,0
1081,2,0,0,0,1,0,13.5,5,1
1082,3,1,0,0,3,0,7.8792,6,1
1083,3,0,0,0,3,0,7.8792,3,1
1084,3,0,0,0,1,0,7.1417,4,1
1085,1,1,0,0,1,0,86.5,4,1
1086,1,0,0,0,2,0,27.7208,1,1
1087,3,0,0,0,1,0,6.4958,6,1
1088,1,0,0,1,2,1,30.6896,5,0
1089,1,1,0,0,2,0,227.525,2,1
1090,2,0,0,0,1,0,13,6,1
1091,2,1,0,0,1,0,13,5,1
1092,2,0,1,1,1,2,6.25,7,0
1093,2,1,0,0,1,0,13,7,1
1094,3,1,0,0,1,0,39.6875,1,1
1095,1,0,0,0,1,0,26,5,1
1096,1,1,2,0,1,2,8.566666667,4,0
1097,1,0,0,0,1,0,0,4,1
1098,3,1,0,0,1,0,7.775,7,1
1099,3,0,0,0,1,0,7.25,6,1
1100,3,0,0,0,2,0,7.2292,5,1
1101,2,1,0,0,1,0,10.5,5,1
1102,2,1,0,0,1,0,13,3,1
1103,2,1,0,0,1,0,13,5,1
1104,2,1,0,0,1,0,36.75,6,1
1105,2,1,1,0,2,1,6.92915,6,0
1106,3,0,0,0,1,0,7.8958,4,1
1107,3,0,0,0,1,0,8.05,6,1
1108,3,1,2,1,2,3,4.814575,5,0
1109,3,0,1,0,1,1,3.2479,6,0
1110,3,0,1,0,1,1,3.2479,5,0
1111,2,1,1,2,1,3,16.25,6,0
1112,2,0,0,0,1,0,16,4,1
1113,1,1,0,0,1,0,221.7792,5,1
1114,2,0,0,0,1,0,10.5,5,1
1115,3,0,0,0,2,0,7.2292,7,1
1116,3,0,1,9,1,10,6.322727273,6,0
1117,3,0,1,2,1,3,5.14375,7,0
1118,3,0,0,0,1,0,7.8542,5,1
1119,3,1,1,1,1,2,6.7375,5,0
1120,3,0,0,0,2,0,7.225,5,1
1121,1,0,0,0,2,0,79.2,5,1
1122,1,0,1,0,1,1,26,4,0
1123,2,0,0,1,1,1,16.5,5,0
1124,3,0,0,0,1,0,7.55,1,1
1125,3,1,0,0,1,0,8.05,6,1
1126,1,0,0,0,1,0,26.55,5,1
1127,1,1,1,0,1,1,26.2771,1,0
1128,3,0,0,0,1,0,0,6,1
1129,3,1,0,0,1,0,7.55,5,1
1130,3,1,8,2,1,10,6.322727273,5,0
1131,3,0,0,0,3,0,7.75,5,1
1132,2,1,0,0,1,0,26,6,1
1133,1,1,0,0,2,0,512.3292,7,1
1134,1,0,0,0,1,0,47.1,5,1
1135,1,1,1,3,2,4,52.475,6,0
1136,3,1,0,0,3,0,7.8292,5,1
1137,3,0,0,0,1,0,7.8542,2,1
1138,3,1,0,0,3,0,7.75,3,1
1139,3,0,0,0,1,0,7.8542,5,1
1140,3,1,1,1,1,2,6.75,4,0
1141,1,1,0,0,1,0,86.5,5,1
1142,3,1,0,0,1,0,8.1125,5,1
1143,2,0,0,0,1,0,13,4,1
1144,1,1,1,0,3,1,45,2,0
1145,3,0,0,0,1,0,7.8958,6,1
1146,3,1,0,0,3,0,7.75,5,1
1147,2,0,0,0,1,0,13,5,1
1148,2,0,0,0,1,0,10.5,6,1
1149,3,0,0,0,1,0,7.05,4,1
1150,2,1,3,0,1,3,5.25,6,0
1151,3,0,0,0,2,0,7.225,5,1
1152,1,1,0,0,2,0,134.5,2,1
1153,3,0,0,0,1,0,6.975,5,1
1154,3,1,0,4,1,4,4.215,6,0
1155,3,1,0,0,3,0,7.75,6,1
1156,1,1,0,2,1,2,23.66666667,5,0
1157,3,0,0,0,1,0,7.8958,2,1
1158,1,0,1,1,2,2,26.4,5,0
1159,3,0,0,0,1,0,7.8958,5,1
1160,1,1,0,0,1,0,80,3,1
1161,3,1,1,0,1,1,7.925,5,0
1162,2,1,1,1,1,2,8.666666667,5,0
1163,1,0,1,0,2,1,38.3646,6,0
1164,3,0,0,0,1,0,7.8958,6,1
1165,3,1,0,1,2,1,7.2271,4,0
1166,3,0,0,0,1,0,22.525,2,1
1167,2,1,1,1,2,2,12.33473333,5,0
1168,1,1,0,0,2,0,211.5,5,1
1169,2,0,0,0,1,0,13,6,1
1170,3,0,0,0,2,0,8.7125,6,1
1171,1,0,0,0,1,0,28.5,6,1
1172,3,0,0,0,2,0,7.2292,6,1
1173,2,0,0,0,1,0,11.5,4,1
1174,3,0,0,0,1,0,8.05,5,1
1175,3,0,1,0,1,1,7.775,4,0
1176,2,1,0,0,2,0,12,3,1
1177,3,0,0,0,1,0,8.05,6,1
1178,3,0,0,0,1,0,8.05,6,1
1179,3,0,0,0,3,0,7.75,5,1
1180,3,1,0,0,3,0,7.75,3,1
1181,3,0,0,0,1,0,7.8958,6,1
1182,1,1,0,0,2,0,146.5208,3,1
1183,3,0,0,0,2,0,7.2292,6,1
1184,1,1,0,0,1,0,33,3,1
1185,1,0,3,2,1,5,43.83333333,5,0
1186,3,0,4,1,3,5,4.854166667,3,0
1187,2,0,0,0,1,0,13,4,1
1188,2,1,1,1,1,2,8.75,6,0
1189,2,1,0,0,1,0,21,5,1
1190,3,1,0,0,1,0,8.85,3,1
1191,2,0,0,0,2,0,15.05,5,1
1192,2,0,0,0,3,0,10.7083,6,1
1193,2,1,1,0,1,1,13,3,0
1194,3,1,1,0,3,1,7.75,6,0
1195,3,0,0,0,1,0,7.25,2,1
1196,3,0,0,0,1,0,7.8958,4,1
1197,3,0,0,0,3,0,7.7417,6,1
1198,2,0,1,1,2,2,12.33473333,4,0
1199,2,0,0,0,1,0,13,4,1
1200,3,0,1,1,1,2,4.591666667,6,0
1201,2,1,1,1,1,2,13,6,0
1202,2,0,0,0,1,0,10.5,5,1
1203,1,0,0,0,1,0,42.5,6,1
1204,3,1,1,0,2,1,7.2271,4,0
1205,3,0,1,0,1,1,5.25,5,0
1206,3,0,1,1,1,2,6.75,5,0
1207,2,1,0,0,3,0,12.35,6,1
1208,3,0,0,0,3,0,6.8583,3,1
1209,3,0,0,0,1,0,7.8958,5,1
1210,3,0,0,0,1,0,7.925,4,1
1211,2,0,0,0,1,0,10.5,3,1
1212,3,1,0,2,1,2,4.0611,6,0
1213,1,1,1,0,2,1,45.5396,5,0
1214,2,0,1,1,1,2,10.83333333,6,0
1215,3,0,0,0,1,0,7.05,2,1
1216,1,1,0,0,1,0,77.9583,4,1
1217,3,0,0,0,1,0,8.05,5,1
1218,3,1,0,5,1,5,6.614583333,6,0
1219,3,0,0,2,1,2,6.75,6,0
1220,1,0,1,1,1,2,54.95556667,3,0
1221,3,1,0,1,1,1,6.14375,2,0
1222,3,0,0,0,1,0,7.8958,4,1
1223,3,0,0,2,2,2,2.409733333,5,0
1224,3,1,3,1,1,4,5.09334,5,0
1225,3,0,0,0,2,0,7.225,4,1
1226,3,0,1,6,1,7,5.8625,6,0
1227,2,0,1,1,1,2,7.666666667,4,0
1228,3,0,0,0,1,0,7.05,1,1
1229,3,0,0,0,1,0,7.8542,6,1
1230,1,1,0,0,2,0,108.9,3,1
1231,2,0,1,0,1,1,10.5,5,0
1232,1,0,0,0,1,0,30,5,1
1233,2,0,1,1,1,2,8.75,4,0
1234,3,0,0,0,1,0,9.2167,6,1
1235,1,1,0,1,2,1,41.57915,1,0
1236,3,0,0,0,1,0,56.4958,6,1
1237,3,0,4,2,1,6,4.483928571,2,0
1238,3,0,0,0,1,0,7.775,6,1
1239,3,1,2,2,1,4,6.875,6,0
1240,2,0,0,0,2,0,13.8583,5,1
1241,3,0,0,0,3,0,7.75,5,1
1242,1,1,0,1,2,1,29.7,5,0
1243,3,0,0,0,2,0,7.225,5,1
1244,3,1,5,2,1,7,5.8625,4,0
1245,3,0,0,0,3,0,7.75,5,1
1246,3,0,0,0,1,0,7.65,5,1
1247,3,1,1,1,3,2,5.166666667,5,0
1248,2,1,1,2,1,3,6.9375,5,0
1249,3,0,0,0,1,0,14.5,6,1
1250,3,0,0,0,1,0,8.05,4,1
1251,1,1,1,0,1,1,30,6,0
1252,1,0,0,0,1,0,42.4,5,1
1253,3,0,1,1,1,2,4.8,4,0
1254,1,1,1,0,2,1,27.72085,4,0
1255,2,1,0,1,1,1,11.5,3,0
1256,2,1,1,0,2,1,12,4,0
1257,2,1,1,0,1,1,13,5,0
1258,2,0,0,0,1,0,10.5,4,1
1259,3,0,0,0,2,0,7.2292,6,1
1260,3,0,0,0,2,0,7.225,3,1
1261,3,1,0,0,1,0,9.5875,5,1
1262,3,0,0,0,1,0,7.7958,6,1
1263,1,0,1,1,1,2,31.16666667,5,0
1264,3,0,0,0,1,0,8.6625,4,1
1265,2,0,1,0,1,1,10.5,4,0
1266,2,0,0,0,1,0,13.5,5,1
1267,2,1,1,1,1,2,10.83333333,4,0
1268,2,0,0,0,1,0,73.5,3,1
1269,3,0,0,0,2,0,7.225,5,1
1270,2,1,0,0,1,0,21,5,1
1271,2,0,0,0,1,0,13,6,1
1272,3,0,0,0,1,0,7.8958,7,1
1273,1,0,0,0,1,0,26.55,4,1
1274,1,1,0,0,2,0,27.7208,6,1
1275,2,0,1,1,1,2,9.666666667,6,0
1276,2,0,0,0,1,0,10.5,4,1
1277,3,0,0,0,3,0,7.7333,6,1
1278,3,0,0,0,1,0,8.6625,5,1
1279,3,1,1,1,1,2,3.4875,6,0
1280,2,0,0,2,2,2,12.33473333,2,0
1281,3,1,1,1,2,2,2.8389,5,0
1282,3,0,0,0,1,0,22.525,7,1
1283,3,0,0,0,2,0,7.8958,3,1
1284,1,1,0,1,2,1,29.7,6,0
1285,3,1,0,0,3,0,7.8792,5,1
1286,1,0,0,0,1,0,30.5,4,1
1287,2,0,0,0,1,0,13,4,1
1288,3,0,0,0,1,0,9.325,5,1
1289,2,0,0,0,1,0,10.5,4,1
1290,1,0,0,0,2,0,27.7208,3,1
1291,1,0,0,0,2,0,49.5042,4,1
1292,3,1,0,0,3,0,7.75,5,1
1293,3,0,0,0,1,0,7.8,5,1
1294,3,1,3,1,1,4,5.09334,5,0
1295,3,0,4,1,3,5,4.854166667,5,0
1296,3,1,3,1,1,4,4.215,5,0
1297,3,0,0,0,1,0,9.225,5,1
1298,2,1,0,3,1,3,9.75,6,0
1299,3,1,0,0,3,0,15.5,6,1
1300,1,1,0,0,2,0,135.6333,4,1
1301,3,0,1,1,2,2,2.409733333,5,0
1302,3,1,1,1,1,2,5.566666667,4,0
1303,1,0,0,1,1,1,38.64375,4,0
1304,3,0,0,0,3,0,7.75,5,1
1305,1,1,1,1,1,2,27.2861,5,0
1306,2,0,0,0,1,0,26,4,1
1307,3,0,0,0,1,0,7.125,6,1
1308,2,1,0,1,1,1,10.5,6,0
1309,3,1,1,0,1,1,3.9625,6,0
