PassengerId,Pclass,Sex,SibSp,Parch,Embarked,fare_pp,AgeGroup
1129,3,1,0,0,1,7.55,5
1130,3,1,8,2,1,6.322727273,5
1131,3,0,0,0,3,7.75,5
1132,2,1,0,0,1,26,6
1133,1,1,0,0,2,512.3292,7
1134,1,0,0,0,1,47.1,5
1135,1,1,1,3,2,52.475,6
1136,3,1,0,0,3,7.8292,5
1137,3,0,0,0,1,7.8542,2
1138,3,1,0,0,3,7.75,3
1139,3,0,0,0,1,7.8542,5
1140,3,1,1,1,1,6.75,4
1141,1,1,0,0,1,86.5,5
1142,3,1,0,0,1,8.1125,5
1143,2,0,0,0,1,13,4
1144,1,1,1,0,3,45,2
1145,3,0,0,0,1,7.8958,6
1146,3,1,0,0,3,7.75,5
1147,2,0,0,0,1,13,5
1148,2,0,0,0,1,10.5,6
1149,3,0,0,0,1,7.05,4
1150,2,1,3,0,1,5.25,6
1151,3,0,0,0,2,7.225,5
1152,1,1,0,0,2,134.5,2
1153,3,0,0,0,1,6.975,5
1154,3,1,0,4,1,4.215,6
1155,3,1,0,0,3,7.75,6
1156,1,1,0,2,1,23.66666667,5
1157,3,0,0,0,1,7.8958,2
1158,1,0,1,1,2,26.4,5
1159,3,0,0,0,1,7.8958,5
1160,1,1,0,0,1,80,3
1161,3,1,1,0,1,7.925,5
1162,2,1,1,1,1,8.666666667,5
1163,1,0,1,0,2,38.3646,6
1164,3,0,0,0,1,7.8958,6
1165,3,1,0,1,2,7.2271,4
1166,3,0,0,0,1,22.525,2
1167,2,1,1,1,2,12.33473333,5
1168,1,1,0,0,2,211.5,5
1169,2,0,0,0,1,13,6
1170,3,0,0,0,2,8.7125,6
1171,1,0,0,0,1,28.5,6
1172,3,0,0,0,2,7.2292,6
1173,2,0,0,0,1,11.5,4
1174,3,0,0,0,1,8.05,5
1175,3,0,1,0,1,7.775,4
1176,2,1,0,0,2,12,3
1177,3,0,0,0,1,8.05,6
1178,3,0,0,0,1,8.05,6
1179,3,0,0,0,3,7.75,5
1180,3,1,0,0,3,7.75,3
1181,3,0,0,0,1,7.8958,6
1182,1,1,0,0,2,146.5208,3
1183,3,0,0,0,2,7.2292,6
1184,1,1,0,0,1,33,3
1185,1,0,3,2,1,43.83333333,5
1186,3,0,4,1,3,4.854166667,3
1187,2,0,0,0,1,13,4
1188,2,1,1,1,1,8.75,6
1189,2,1,0,0,1,21,5
1190,3,1,0,0,1,8.85,3
1191,2,0,0,0,2,15.05,5
1192,2,0,0,0,3,10.7083,6
1193,2,1,1,0,1,13,3
1194,3,1,1,0,3,7.75,6
1195,3,0,0,0,1,7.25,2
1196,3,0,0,0,1,7.8958,4
1197,3,0,0,0,3,7.7417,6
1198,2,0,1,1,2,12.33473333,4
1199,2,0,0,0,1,13,4
1200,3,0,1,1,1,4.591666667,6
1201,2,1,1,1,1,13,6
1202,2,0,0,0,1,10.5,5
1203,1,0,0,0,1,42.5,6
1204,3,1,1,0,2,7.2271,4
1205,3,0,1,0,1,5.25,5
1206,3,0,1,1,1,6.75,5
1207,2,1,0,0,3,12.35,6
1208,3,0,0,0,3,6.8583,3
1209,3,0,0,0,1,7.8958,5
1210,3,0,0,0,1,7.925,4
1211,2,0,0,0,1,10.5,3
1212,3,1,0,2,1,4.0611,6
1213,1,1,1,0,2,45.5396,5
1214,2,0,1,1,1,10.83333333,6
1215,3,0,0,0,1,7.05,2
1216,1,1,0,0,1,77.9583,4
1217,3,0,0,0,1,8.05,5
1218,3,1,0,5,1,6.614583333,6
1219,3,0,0,2,1,6.75,6
1220,1,0,1,1,1,54.95556667,3
1221,3,1,0,1,1,6.14375,2
1222,3,0,0,0,1,7.8958,4
1223,3,0,0,2,2,2.409733333,5
1224,3,1,3,1,1,5.09334,5
1225,3,0,0,0,2,7.225,4
1226,3,0,1,6,1,5.8625,6
1227,2,0,1,1,1,7.666666667,4
1228,3,0,0,0,1,7.05,1
1229,3,0,0,0,1,7.8542,6
1230,1,1,0,0,2,108.9,3
1231,2,0,1,0,1,10.5,5
1232,1,0,0,0,1,30,5
1233,2,0,1,1,1,8.75,4
1234,3,0,0,0,1,9.2167,6
1235,1,1,0,1,2,41.57915,1
1236,3,0,0,0,1,56.4958,6
1237,3,0,4,2,1,4.483928571,2
1238,3,0,0,0,1,7.775,6
1239,3,1,2,2,1,6.875,6
1240,2,0,0,0,2,13.8583,5
1241,3,0,0,0,3,7.75,5
1242,1,1,0,1,2,29.7,5
1243,3,0,0,0,2,7.225,5
1244,3,1,5,2,1,5.8625,4
1245,3,0,0,0,3,7.75,5
1246,3,0,0,0,1,7.65,5
1247,3,1,1,1,3,5.166666667,5
1248,2,1,1,2,1,6.9375,5
1249,3,0,0,0,1,14.5,6
1250,3,0,0,0,1,8.05,4
1251,1,1,1,0,1,30,6
1252,1,0,0,0,1,42.4,5
1253,3,0,1,1,1,4.8,4
1254,1,1,1,0,2,27.72085,4
1255,2,1,0,1,1,11.5,3
1256,2,1,1,0,2,12,4
1257,2,1,1,0,1,13,5
1258,2,0,0,0,1,10.5,4
1259,3,0,0,0,2,7.2292,6
1260,3,0,0,0,2,7.225,3
1261,3,1,0,0,1,9.5875,5
1262,3,0,0,0,1,7.7958,6
1263,1,0,1,1,1,31.16666667,5
1264,3,0,0,0,1,8.6625,4
1265,2,0,1,0,1,10.5,4
1266,2,0,0,0,1,13.5,5
1267,2,1,1,1,1,10.83333333,4
1268,2,0,0,0,1,73.5,3
1269,3,0,0,0,2,7.225,5
1270,2,1,0,0,1,21,5
1271,2,0,0,0,1,13,6
1272,3,0,0,0,1,7.8958,7
1273,1,0,0,0,1,26.55,4
1274,1,1,0,0,2,27.7208,6
1275,2,0,1,1,1,9.666666667,6
1276,2,0,0,0,1,10.5,4
1277,3,0,0,0,3,7.7333,6
1278,3,0,0,0,1,8.6625,5
1279,3,1,1,1,1,3.4875,6
1280,2,0,0,2,2,12.33473333,2
1281,3,1,1,1,2,2.8389,5
1282,3,0,0,0,1,22.525,7
1283,3,0,0,0,2,7.8958,3
1284,1,1,0,1,2,29.7,6
1285,3,1,0,0,3,7.8792,5
1286,1,0,0,0,1,30.5,4
1287,2,0,0,0,1,13,4
1288,3,0,0,0,1,9.325,5
1289,2,0,0,0,1,10.5,4
1290,1,0,0,0,2,27.7208,3
1291,1,0,0,0,2,49.5042,4
1292,3,1,0,0,3,7.75,5
1293,3,0,0,0,1,7.8,5
1294,3,1,3,1,1,5.09334,5
1295,3,0,4,1,3,4.854166667,5
1296,3,1,3,1,1,4.215,5
1297,3,0,0,0,1,9.225,5
1298,2,1,0,3,1,9.75,6
1299,3,1,0,0,3,15.5,6
1300,1,1,0,0,2,135.6333,4
1301,3,0,1,1,2,2.409733333,5
1302,3,1,1,1,1,5.566666667,4
1303,1,0,0,1,1,38.64375,4
1304,3,0,0,0,3,7.75,5
1305,1,1,1,1,1,27.2861,5
1306,2,0,0,0,1,26,4
1307,3,0,0,0,1,7.125,6
1308,2,1,0,1,1,10.5,6
1309,3,1,1,0,1,3.9625,6
