PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name_Letter
93,0,2,0,49,1,2,65,1,8
94,0,1,0,30,0,0,26.55,1,6
95,0,2,0,33,0,0,12.275,1,8
96,0,1,0,27,0,2,211.5,2,23
97,1,3,1,30,0,0,164.8667,1,2
98,1,1,0,17,0,2,110.8833,2,20
99,0,3,1,30,0,0,7.75,3,13
100,0,1,0,38,0,0,0,1,18
101,0,3,0,30,0,0,8.05,1,23
102,0,3,0,32,0,0,7.8958,1,16
103,0,3,0,24,0,0,9.5,1,12
104,0,1,0,33,0,0,26.55,1,18
105,0,3,0,25,0,0,7.8958,1,4
106,0,3,0,40.5,0,0,7.75,3,6
107,0,3,1,30,0,0,7.55,1,8
108,1,1,1,26,1,0,136.7792,2,3
109,0,3,0,19,0,0,7.8958,1,16
110,0,3,0,30,0,0,7.75,3,6
111,1,1,1,29,0,0,211.3375,1,1
112,1,2,1,24,1,0,27.7208,2,4
113,0,3,0,17,1,0,7.0542,1,10
114,0,3,1,2,0,1,10.4625,1,19
115,0,3,1,45,0,1,14.4542,2,2
116,0,3,0,17,0,0,8.6625,1,3
117,1,1,1,18,0,2,79.65,1,20
118,0,3,0,17,2,0,8.05,1,4
119,0,3,0,59,0,0,7.25,1,3
120,1,2,1,33,1,2,27.75,1,23
121,0,1,0,55,1,0,59.4,2,18
122,0,3,0,17,0,0,8.6625,1,3
123,0,3,0,30,0,0,7.2292,2,4
124,0,3,0,29,0,0,7.8542,1,10
125,1,2,1,4,2,1,39,1,2
126,0,3,0,24,0,0,7.8542,1,3
127,0,3,0,40.5,0,0,15.1,1,5
128,1,1,1,30,0,0,106.425,2,12
129,0,3,1,31,0,0,7.8542,1,15
130,0,2,0,34,0,0,13,1,16
131,0,3,0,30,0,0,14.4583,2,25
132,0,3,1,17,0,0,14.4583,2,1
133,1,3,1,30,0,0,7.7208,3,18
134,1,2,1,40,0,0,15.75,1,23
135,1,3,0,45,0,0,8.05,1,4
136,0,3,0,40,1,4,27.9,1,19
137,0,3,0,60.5,0,0,7.2,1,19
138,1,1,0,31,0,0,28.5375,2,20
139,1,3,0,29,0,0,9.5,1,19
140,0,3,1,18.5,0,0,7.2833,3,2
141,0,1,0,30,0,0,31,1,3
142,0,3,0,30,0,0,7.25,1,23
143,0,1,0,19,1,0,53.1,1,13
144,0,2,0,54,0,0,14,1,13
145,1,1,1,35,1,0,83.475,1,8
146,0,3,0,33,0,0,7.775,1,10
147,0,3,0,30,0,0,7.8958,1,9
148,0,3,0,30,0,0,8.05,1,19
149,0,2,0,40,0,0,13,1,22
150,1,1,0,45,0,0,26.55,1,18
151,1,1,1,50,1,1,211.5,2,23
152,0,3,0,19,0,0,14.5,1,16
153,0,2,0,23,0,0,13,1,2
154,0,3,0,30,3,1,25.4667,1,12
155,1,3,1,19,1,1,15.7417,2,14
156,1,1,1,32,0,0,76.2917,2,2
157,0,3,0,24,0,0,8.05,1,16
158,0,3,0,30,0,0,7.2292,2,2
159,1,3,1,30,0,0,7.7792,3,19
160,0,3,0,31,0,0,7.75,3,3
161,0,3,0,42,0,0,8.6625,1,4
162,0,3,0,18,0,0,7.775,1,5
163,0,3,0,55.5,0,0,8.05,1,13
164,0,2,0,25,0,0,13,1,2
165,0,3,0,22,0,0,7.8958,1,22
166,0,3,0,38,0,0,7.05,1,7
167,0,3,0,25,1,0,17.8,1,1
168,0,3,0,20,0,0,9.225,1,15
169,0,2,0,30,0,0,13,1,13
170,0,1,0,30,0,0,50,1,18
171,1,3,0,39,0,0,7.925,1,14
172,0,3,1,30,1,0,14.4542,2,26
173,0,2,0,41,0,0,15.0458,2,19
174,0,3,1,21,2,2,34.375,1,6
175,0,3,0,30,1,0,14.4542,2,11
176,0,3,0,26,0,0,7.8792,3,6
177,0,3,0,36,0,0,7.8958,1,20
178,0,3,0,22,0,0,7.25,1,16
179,1,2,1,13,0,1,19.5,1,13
180,1,3,0,30,0,0,7.75,3,15
181,1,1,1,24,0,0,83.1583,2,8
182,0,1,0,30,0,0,26,1,19
183,0,3,0,10,4,1,29.125,3,18
184,0,2,0,21,0,0,11.5,1,3
185,0,3,0,5,4,2,31.3875,1,1
186,0,3,0,30,1,0,19.9667,1,8
187,0,3,1,17,0,0,7.7333,3,8
188,0,1,0,55,0,0,30.5,1,13
189,1,3,0,1,1,2,20.575,1,4
190,0,2,0,34,1,0,26,1,1
191,1,3,1,30,0,0,7.75,3,15
192,1,3,1,18,0,0,8.05,1,2
193,1,3,1,22,0,0,7.25,1,12
194,0,2,0,24,0,0,10.5,1,12
195,1,3,1,1,0,2,15.7417,2,14
196,0,3,1,45,1,4,27.9,1,19
197,0,1,0,30,0,0,26.55,1,3
198,1,2,0,8,0,2,32.5,1,4
199,1,1,1,36,0,0,262.375,2,3
200,0,2,0,31,0,0,10.5,1,11
201,0,1,0,71,0,0,34.6542,2,7
202,0,1,0,61,0,0,33.5,1,22
203,1,2,0,3,1,1,26,1,14
204,0,1,0,30,1,2,151.55,1,1
205,1,3,0,21,0,0,7.7958,1,11
206,0,2,0,24,2,0,73.5,1,8
207,0,1,0,65,0,0,26.55,1,13
208,0,1,0,30,0,0,27.7208,2,19
209,0,3,0,32,1,0,15.85,1,2
210,0,2,0,32,0,0,13,1,4
211,1,3,1,30,0,0,7.7875,3,13
212,0,3,0,30,0,0,7.8958,1,11
213,0,2,0,38,1,0,21,1,7
214,0,2,0,54,0,0,26,1,4
215,0,3,0,21,0,0,8.05,1,18
216,0,1,0,45,0,0,35.5,1,2
217,0,3,0,30,0,0,8.05,1,16
218,0,1,0,36,0,0,40.125,2,18
219,0,3,0,30,1,0,7.75,3,11
220,1,2,1,42,0,0,13,1,2
221,0,1,0,30,0,0,227.525,2,18
222,1,3,1,33,1,2,20.575,1,4
223,1,3,0,32,0,0,7.5792,1,12
224,1,1,1,64,0,2,83.1583,2,3
225,0,1,0,39,0,0,0,1,1
226,0,1,0,64,1,4,263,1,6
227,1,1,1,30,1,0,133.65,1,6
228,0,3,0,29,0,0,7.875,1,26
229,0,2,0,25,0,0,13,1,19
230,1,2,1,30,0,0,13,1,19
231,0,3,0,21,0,0,8.4333,1,11
232,0,3,0,30,0,0,7.7292,3,19
233,1,2,0,1,2,1,39,1,2
234,0,3,0,36,0,0,9.5,1,23
235,0,3,1,30,0,0,7.8792,3,13
236,1,2,0,0.83,0,2,29,1,3
237,0,2,0,43,0,1,21,1,16
238,0,3,0,28,0,0,56.4958,1,12
239,0,3,0,26,0,0,7.8958,1,2
240,1,2,1,29,1,0,26,1,8
241,1,1,0,54,1,0,55.4417,2,19
242,1,1,1,63,1,0,77.9583,1,1
243,0,3,1,30,8,2,69.55,1,19
244,0,1,0,37,1,1,83.1583,2,3
245,0,3,0,27,0,0,7.8958,1,3
246,1,2,0,8,1,1,36.75,1,4
247,1,3,1,30,0,0,7.7333,3,13
248,1,3,1,30,1,0,15.5,3,13
249,0,3,0,23,0,0,7.05,1,1
250,1,3,1,27,0,2,11.1333,1,10
251,0,2,1,26,1,1,26,1,12
252,0,3,0,24,0,0,7.775,1,1
253,0,3,0,10,3,2,27.9,1,19
254,0,3,0,30,0,0,8.4583,3,13
255,0,2,0,27,0,0,13,1,13
256,1,3,1,26,0,0,7.8542,1,14
257,0,3,0,30,0,0,8.05,1,23
258,0,3,0,21,0,0,7.8542,1,14
259,0,3,1,30,0,0,8.05,1,13
260,0,3,0,33,0,0,7.8958,2,4
261,1,2,1,7,0,2,26.25,1,8
262,0,3,0,26,2,0,8.6625,1,11
263,0,1,0,37,0,1,29.7,2,14
264,0,3,0,30,0,0,7.75,3,6
265,1,1,0,28,0,0,35.5,1,19
266,0,3,0,7,4,1,39.6875,1,16
267,1,3,1,31,1,0,113.275,2,14
268,1,1,0,34,0,0,26.55,1,19
269,0,3,0,14.5,8,2,69.55,1,19
270,0,3,0,30,0,0,7.8958,1,12
271,1,3,0,25,0,0,7.65,1,1
272,0,1,0,50,1,1,211.5,2,23
273,0,2,0,50,0,0,13,1,8
274,1,2,0,24,0,0,10.5,1,3
275,1,3,0,7,1,1,15.2458,2,20
276,0,3,0,26,0,0,7.775,1,1
277,0,3,0,30,0,0,7.2292,2,11
278,1,2,1,36,1,0,26,1,1
279,0,1,0,42,0,0,26.55,1,12
280,1,1,0,36,0,0,26.3875,1,6
281,0,2,0,36,0,0,10.5,1,18
282,0,3,1,30,0,4,25.4667,1,12
283,0,3,0,30,0,0,14.5,1,18
284,0,2,0,21,1,0,11.5,1,7
285,0,3,0,30,0,0,7,1,16
286,1,3,1,38,1,5,31.3875,1,1
287,1,1,1,59,2,0,51.4792,1,2
288,1,2,1,25,0,1,26,1,19
289,1,3,1,15,0,0,8.0292,3,13
290,0,1,0,47,0,0,52,1,16
291,0,1,0,30,0,0,221.7792,1,6
292,1,1,0,48,0,0,26.55,1,1
293,1,1,1,14,1,2,120,1,3
294,1,3,0,27,0,0,7.7958,1,1
295,1,2,1,15,0,1,211.3375,1,13
296,0,1,0,30,0,0,42.4,1,8
297,1,3,1,30,0,0,7.225,2,13
298,1,2,1,28,0,0,12.65,1,20
299,0,1,0,30,0,0,30.6958,2,8
300,1,3,0,25,0,0,9.5,1,19
301,0,3,0,41,2,0,14.1083,1,8
302,0,2,0,17,0,0,73.5,1,4
303,1,1,1,55,0,0,135.6333,2,23
304,0,3,0,9,5,2,46.9,1,7
305,0,3,0,19,0,0,6.75,3,2
306,1,2,1,50,0,1,26,1,16
307,1,3,0,21,0,0,7.7958,1,10
308,1,3,0,30,0,0,7.75,3,13
309,1,1,1,51,1,0,77.9583,1,8
310,1,1,0,53,0,0,28.5,2,7
311,1,3,1,30,2,0,23.25,3,13
312,1,1,0,51,0,0,26.55,1,4
313,0,3,0,30,1,0,24.15,3,13
314,0,2,0,26,0,0,13,1,14
315,1,3,1,31,0,0,8.6833,1,15
316,0,3,0,40.5,0,2,14.5,1,22
317,0,3,1,18,0,0,6.75,3,8
318,1,3,0,25,0,0,7.7958,1,20
319,0,3,0,20,0,0,4.0125,2,2
320,0,3,0,16,0,0,8.05,1,18
321,1,1,1,47,1,1,52.5542,1,2
322,1,3,1,33,3,0,15.85,1,2
323,0,3,0,42,0,0,7.55,1,1
324,0,3,1,10,5,2,46.9,1,7
325,1,1,1,21,0,0,26.55,1,23
326,1,1,1,30,0,0,31,2,19
327,1,1,1,36,1,2,120,1,3
328,0,1,0,37,1,0,53.1,1,6
329,1,1,1,16,0,0,86.5,1,13
330,1,3,0,9,0,1,3.1708,1,15
331,0,3,0,30,0,0,8.05,1,13
332,0,3,0,28,0,0,9.5,1,22
333,1,3,1,30,0,2,15.2458,2,13
334,1,3,1,22,0,0,7.75,1,14
335,1,3,0,30,0,0,7.775,1,13
336,1,2,1,23,1,0,82.2667,1,19
337,0,3,0,4,3,2,27.9,1,19
338,1,1,1,39,1,1,79.65,1,20
339,0,3,0,18,0,0,8.3,1,1
340,0,3,0,27,0,0,7.8542,1,10
341,1,1,1,30,0,0,56.9292,2,6
342,0,3,0,21,0,0,7.775,1,2
343,0,1,0,51,0,1,61.3792,2,23
344,1,2,1,1,1,2,41.5792,2,12
345,0,1,0,50,0,0,26,1,10
346,1,1,0,11,1,2,120,1,3
347,0,1,0,30,0,0,51.8625,1,8
348,1,1,0,36,0,1,512.3292,2,3
349,0,3,0,28.5,0,0,7.2292,2,14
350,0,2,0,30,0,0,13,1,8
351,0,3,0,30,0,0,24.15,3,18
352,0,3,0,30,0,0,7.55,1,12
353,0,3,0,30,0,0,7.75,3,15
354,0,3,0,32,0,0,8.05,1,19
355,0,2,0,34,0,0,13,1,7
356,0,2,0,30,0,0,0,1,3
357,1,1,1,30,0,0,31.6833,1,6
358,0,1,0,39,0,0,29.7,2,4
359,1,2,1,22,1,2,41.5792,2,12
360,0,3,0,45.5,0,0,7.225,2,25
361,0,3,1,28,0,0,7.8958,1,16
362,0,3,0,30,0,0,7.8292,3,15
363,1,2,0,19,0,0,10.5,1,13
364,0,3,0,30,0,0,7.225,2,25
365,1,1,1,22,0,0,151.55,1,3
366,1,3,0,30,0,0,56.4958,1,12
367,0,3,0,19,0,0,7.775,1,7
368,1,1,1,60,0,0,76.2917,2,2
369,0,3,0,17,0,0,8.6625,1,16
370,0,3,0,30,0,0,7.2292,2,9
371,0,1,0,38,0,1,153.4625,1,7
372,1,3,1,30,1,0,13.8583,2,4
373,1,1,0,24,1,0,82.2667,1,19
374,1,2,0,22,0,0,10.5,1,15
375,1,2,1,28,1,0,26,1,3
376,1,3,1,21,0,0,7.65,1,19
377,0,3,0,16,4,1,39.6875,1,16
378,1,3,0,30,0,0,7.75,3,11
379,0,3,0,30,1,0,16.1,1,4
380,0,3,1,30,1,0,15.5,3,12
381,0,3,0,70.5,0,0,7.75,3,3
382,0,3,0,21,0,0,7.8542,1,8
383,0,2,0,36,0,0,12.875,2,12
384,0,3,1,43,1,6,46.9,1,7
385,0,2,0,21,1,0,11.5,1,7
386,0,2,1,60,1,0,26,1,8
387,0,3,0,30,0,0,8.05,1,19
388,1,1,1,58,0,1,153.4625,1,7
389,1,3,1,9,1,1,15.2458,2,20
390,0,2,0,25,0,0,13,1,19
391,0,3,0,65,0,0,7.75,3,4
392,1,3,1,16,0,0,7.75,3,3
393,0,1,0,42,0,0,26.55,1,2
394,0,2,0,28,0,0,13,1,3
395,0,3,0,19,0,0,7.8958,1,3
396,0,3,1,21,1,0,9.825,1,10
397,0,2,0,25,1,2,41.5792,2,12
398,0,3,1,22,0,0,10.5167,1,4
399,0,3,0,16,0,0,9.5,1,4
400,1,1,1,24,0,0,69.3,2,19
401,0,3,0,29,0,0,7.775,1,12
402,0,2,0,25,1,0,26,1,2
403,1,2,1,33,0,2,26,1,17
404,0,3,1,30,1,1,24.15,1,22
405,0,2,1,29,1,0,26,1,3
406,0,3,0,30,1,1,14.5,1,22
407,0,1,0,44,2,0,90,3,13
408,1,1,1,48,0,0,25.9292,1,19
409,0,3,0,22,0,0,8.05,1,4
410,0,1,0,27,1,0,136.7792,2,3
411,0,2,0,21,2,0,73.5,1,8
412,0,3,0,19,0,0,8.1583,1,3
413,1,1,1,35,0,0,135.6333,1,2
414,0,3,0,28,0,0,7.7958,1,3
415,0,3,0,20,0,0,9.8458,1,7
416,0,1,0,49,1,1,110.8833,2,20
417,0,3,0,30,0,0,7.225,2,20
418,0,3,0,42,0,0,7.65,1,8
419,0,3,0,35,0,0,7.05,1,1
420,0,3,0,30,0,0,7.55,1,23
421,0,3,1,20,0,0,8.6625,1,15
422,0,3,0,25,0,0,7.25,1,8
423,1,3,1,24,0,0,7.75,3,13
424,1,1,1,39,1,1,110.8833,2,20
425,0,3,0,30,0,0,7.7375,3,11
426,0,2,0,32.5,1,0,30.0708,2,14
427,1,1,0,23,0,1,63.3583,2,7
428,1,3,0,29,0,0,7.75,3,4
429,0,3,0,22,0,0,7.8958,1,14
430,1,1,0,26,0,0,30,2,2
431,0,3,1,30,1,2,23.45,1,10
432,0,3,0,33,0,0,9.5,1,22
433,1,3,1,30,0,0,7.7375,3,13
434,0,3,0,9,4,2,31.3875,1,1
435,0,3,0,30,0,0,7.8958,1,14
436,1,2,0,31,0,0,13,1,23
437,1,1,1,17,1,0,108.9,2,16
438,0,3,1,1,1,1,12.1833,1,11
439,0,1,0,30,0,0,35,1,23
440,0,3,0,18,2,2,34.375,1,6
441,0,2,0,54,1,0,26,1,3
442,1,3,1,23,0,0,8.05,1,4
443,0,3,0,19,0,0,0,1,10
444,0,2,0,22,2,0,31.5,1,10
445,0,2,0,39,0,0,13,1,15
446,0,3,0,8,4,1,29.125,3,18
447,0,3,0,29,1,0,27.7208,2,4
448,0,3,0,30,0,0,7.225,2,19
449,0,3,0,33,0,0,7.8542,1,11
450,1,1,0,6,0,2,134.5,2,19
451,0,3,1,11,4,2,31.275,1,1
452,1,3,0,9,0,2,20.525,1,7
453,0,3,1,30,3,1,25.4667,1,12
454,1,1,1,33,0,0,151.55,1,4
455,0,3,1,30,0,0,8.1375,3,16
456,1,3,1,30,1,1,22.3583,2,16
457,1,1,1,19,0,0,30,1,7
458,0,1,0,28,1,0,82.1708,2,13
459,0,3,0,18,0,0,7.75,1,2
460,0,3,0,30,0,0,8.05,1,18
461,0,3,0,21,2,0,24.15,1,4
462,0,3,1,18,0,0,7.775,1,16
463,1,1,1,45,1,1,164.8667,1,23
464,1,2,1,15,0,2,39,1,2
465,1,2,1,29,1,0,26,1,23
466,1,3,1,17,0,1,16.1,1,3
467,1,1,1,44,0,1,57.9792,2,8
468,0,2,0,52,0,0,13,1,7
469,0,3,0,50,0,0,8.05,1,18
470,0,3,0,19,0,0,8.05,1,2
471,0,1,0,30,0,0,52,1,3
472,1,3,1,30,0,0,12.475,1,4
473,0,3,0,32,0,0,7.925,1,12
474,0,3,0,33,0,0,8.6542,1,10
475,1,3,1,16,0,0,7.65,1,1
476,0,3,0,11,5,2,46.9,1,7
477,0,3,0,47,0,0,7.25,1,5
478,1,1,1,23,1,0,113.275,2,14
479,0,3,0,30,0,0,8.05,1,6
480,0,3,1,23,0,0,8.6625,1,15
481,1,3,1,19,0,0,7.8792,3,4
482,0,3,1,18,1,0,17.8,1,1
483,0,1,0,46,0,0,79.2,2,18
484,0,3,0,27,0,0,7.225,2,26
485,1,1,0,56,0,0,35.5,2,19
486,1,2,1,24,2,3,18.75,1,18
487,0,3,1,30,8,2,69.55,1,19
488,0,1,0,70,1,1,71,1,3
489,0,3,0,30,0,0,7.8958,1,20
490,0,2,0,42,1,0,27,1,10
491,0,3,0,24,0,0,8.6625,1,16
492,1,1,0,25,1,0,91.0792,2,2
493,0,2,0,60,1,1,39,1,2
494,0,3,0,51,0,0,7.75,1,23
495,1,1,1,45,0,0,262.375,2,2
496,0,2,0,21,0,0,73.5,1,8
497,0,3,0,30,0,0,7.25,1,11
498,0,2,0,25,0,0,10.5,1,19
499,0,3,0,30,2,0,21.6792,2,19
500,0,3,0,30,1,2,23.45,1,10
501,0,3,0,18,1,0,14.4542,2,3
502,0,3,0,30,0,0,8.05,1,23
503,1,3,0,4,1,1,11.1333,1,10
504,0,3,0,21,0,0,16.1,1,2
505,0,3,1,20,1,0,9.825,1,10
506,0,2,0,18,0,0,10.5,1,6
507,0,2,0,23,2,1,11.5,1,8
508,0,3,1,8,3,1,21.075,1,16
509,1,3,1,15,0,0,7.225,2,14
510,0,3,0,30,0,0,7.8958,2,11
511,1,3,0,44,0,0,7.925,1,19
512,1,1,1,60,1,4,263,1,6
513,0,3,0,27,1,0,14.4542,2,25
514,1,1,1,52,1,0,78.2667,2,19
515,0,2,0,43,1,1,26.25,1,8
516,0,3,0,43,0,0,6.45,1,8
517,1,1,1,33,1,0,53.1,1,3
518,1,3,0,30,1,1,22.3583,2,16
519,0,3,0,22,0,0,7.5208,1,11
520,0,3,0,20.5,0,0,7.25,1,12
521,1,2,1,50,0,0,10.5,1,20
522,0,3,1,18,2,0,18,1,22
523,1,3,1,18,0,1,9.35,1,1
524,0,3,0,32,0,0,8.3625,1,7
525,1,2,1,45,1,1,26.25,1,8
526,1,1,1,53,2,0,51.4792,1,1
527,0,2,0,24,0,0,13,1,7
528,0,3,0,30,1,0,14.4583,2,3
529,0,3,0,61,0,0,6.2375,1,14
530,1,1,0,49,0,0,0,1,9
531,1,2,1,22,0,0,10.5,1,3
532,1,2,1,34,0,1,23,1,4
533,0,1,0,30,0,0,26,1,13
534,0,3,0,30,0,0,7.775,1,18
535,0,3,0,30,0,0,7.8958,1,4
536,1,3,1,30,2,0,23.25,3,13
537,1,3,1,26,1,1,22.025,1,11
538,1,1,1,18,1,0,53.1,1,13
539,0,1,0,30,0,0,0,1,6
540,0,3,0,18,0,0,7.75,1,13
541,0,3,0,49,0,0,0,1,10
542,0,3,0,39,0,0,7.925,1,19
543,0,2,0,66,0,0,10.5,1,23
544,0,3,0,30,0,0,8.05,1,19
545,0,3,1,10,0,2,24.15,1,22
546,1,3,0,25,0,0,7.2292,2,11
547,0,1,0,64,1,0,75.25,2,23
548,1,1,0,30,0,0,30.5,1,19
549,0,3,0,24.5,0,0,8.05,1,19
550,0,3,0,48,0,0,7.8542,1,10
551,0,3,1,30,1,2,23.45,1,10
552,1,1,1,35,1,0,53.1,1,6
553,1,2,0,2,1,1,26,1,14
554,1,2,1,50,0,0,10.5,1,18
555,0,3,0,19,0,0,10.1708,1,4
556,0,2,0,36.5,0,2,26,1,14
557,0,3,1,37,0,0,7.75,3,3
558,0,3,1,3,1,1,13.775,1,16
559,0,2,0,36,1,2,27.75,1,23
560,0,3,0,30,0,0,7.8958,1,16
561,0,3,0,29,0,0,9.4833,1,12
562,0,3,1,28,1,1,14.4,1,4
563,0,2,0,42,0,0,13,1,2
564,1,3,1,13,0,0,7.2292,2,1
565,1,1,1,43,0,1,211.3375,1,18
566,0,3,0,30,0,0,7.05,1,10
567,1,2,0,3,1,1,18.75,1,18
568,0,3,0,30,0,0,7.8958,1,16
569,1,1,1,35,1,0,52,1,8
570,1,1,1,30,0,0,93.5,1,16
571,0,2,0,28,0,0,10.5,1,16
572,0,1,0,58,0,2,113.275,2,14
573,0,3,0,30,0,0,8.7125,1,23
574,1,3,0,0.42,0,1,8.5167,2,20
575,0,3,1,2,4,2,31.275,1,1
576,0,3,0,11.5,1,1,14.5,1,22
577,1,2,1,45,0,0,13.5,1,11
578,1,1,0,31,1,0,57,1,4
579,0,3,0,21,0,0,8.05,1,3
580,0,3,0,30,0,0,8.05,1,13
581,1,1,1,45,0,1,63.3583,2,7
582,0,1,0,23,0,0,93.5,1,16
583,0,3,0,18,0,0,8.6625,1,3
584,1,1,1,48,1,1,79.2,2,6
585,0,3,0,26.5,0,0,7.225,2,26
586,1,3,1,36,1,0,17.4,1,4
587,0,3,0,31,0,0,7.775,1,10
588,1,3,1,18,0,0,7.4958,1,19
589,0,1,0,29,0,0,30,1,12
590,1,3,1,63,0,0,9.5875,1,20
591,1,1,1,30,0,0,110.8833,2,6
592,1,1,1,54,1,0,78.2667,2,5
593,1,3,0,30,0,0,9.5,1,4
594,1,3,0,3,4,2,31.3875,1,1
595,1,1,1,30,1,0,52,1,20
596,1,3,1,1,1,1,11.1333,1,10
597,0,3,0,30,0,0,15.5,3,13
598,0,3,1,19,1,0,16.1,1,13
599,0,3,0,21,0,0,8.05,1,19
600,0,3,0,26,0,0,7.775,1,2
601,0,3,0,40,1,1,15.5,3,2
602,1,3,1,24,0,2,16.7,1,19
603,0,1,0,36,1,0,78.85,1,3
604,1,3,1,4,0,1,13.4167,2,11
605,0,3,0,30,0,0,7.8958,1,19
606,0,3,0,30,8,2,69.55,1,19
607,1,1,1,30,0,0,79.2,2,20
608,0,3,0,30,0,0,7.8958,1,18
609,0,3,0,30,0,0,7.75,3,13
610,0,3,1,6,4,2,31.275,1,1
611,1,3,0,20,1,1,15.7417,2,14
612,0,1,1,50,0,0,28.7125,2,9
613,0,3,0,11,0,0,18.7875,2,8
614,0,3,0,28,0,0,9.5,1,22
615,0,3,0,31,3,0,18,1,22
616,0,3,0,30,0,0,7.75,3,13
617,0,3,0,30,0,0,8.05,1,20
618,0,3,0,51,0,0,8.05,1,7
619,1,2,1,12,0,0,15.75,1,23
620,0,3,0,30,0,0,7.75,3,15
621,0,1,0,50,1,0,106.425,2,4
622,0,1,0,47,0,0,25.5875,1,3
623,0,3,0,34,0,0,8.05,1,13
624,1,1,1,24,0,0,69.3,2,1
625,1,1,0,49,1,0,56.9292,2,4
626,0,3,0,36,0,0,7.4958,1,3
627,1,1,1,54,1,0,59.4,2,18
628,0,3,1,25,1,0,7.925,1,9
629,0,3,0,28,2,0,7.925,1,7
