PassengerId,Survived,Pclass,Sex,Embarked,AgeGroup,SibSp,Parch,FareBand,relatives,not_alone
50,0,3,0,1,1,3,1,3,4,0
51,1,1,1,1,4,0,1,4,1,0
52,0,2,0,1,6,0,0,2,0,1
53,1,1,1,1,6,0,0,4,0,1
54,0,3,0,1,4,0,0,2,0,1
55,1,2,1,1,3,0,2,2,2,0
56,1,2,1,1,2,0,1,4,1,0
57,0,1,0,1,6,0,0,4,0,1
58,0,1,0,1,5,0,0,3,0,1
59,0,3,1,1,6,4,2,1,6,0
60,0,2,0,1,6,0,0,3,0,1
61,0,3,0,2,5,0,0,1,0,1
62,1,3,0,2,6,1,1,3,2,0
63,1,2,0,1,1,1,1,3,2,0
64,1,3,0,1,5,0,0,2,0,1
65,0,1,0,1,5,1,0,4,1,0
66,1,1,1,2,6,1,0,4,1,0
67,1,2,0,1,5,0,0,2,0,1
68,1,1,1,2,5,0,0,3,0,1
69,1,1,0,1,5,0,0,3,0,1
70,0,3,0,1,3,1,1,1,2,0
71,0,3,0,1,5,0,0,2,0,1
72,0,3,0,1,3,0,0,1,0,1
73,1,1,0,2,5,0,0,3,0,1
74,0,2,0,1,4,0,0,1,0,1
75,0,3,1,2,5,1,0,2,1,0
76,0,3,0,1,6,0,0,1,0,1
77,1,1,0,1,5,1,0,4,1,0
78,0,1,1,2,6,0,0,4,0,1
79,0,3,0,1,4,0,0,2,0,1
80,0,3,0,3,4,0,0,1,0,1
81,1,3,1,3,4,1,0,3,1,0
82,0,3,0,1,5,1,0,1,1,0
83,1,1,1,2,6,0,0,3,0,1
84,0,2,0,1,5,0,0,2,0,1
85,1,2,0,2,5,0,0,2,0,1
86,0,3,0,1,4,0,0,2,0,1
87,0,3,0,1,6,1,0,3,1,0
88,0,3,1,1,2,4,2,3,6,0
89,1,2,1,1,5,0,0,2,0,1
90,0,1,0,2,7,0,1,4,1,0
91,1,1,1,3,5,1,0,4,1,0
92,0,3,1,3,5,0,0,1,0,1
93,0,2,0,1,6,1,2,4,3,0
94,0,1,0,1,6,0,0,3,0,1
95,0,2,0,1,5,0,0,2,0,1
96,0,1,0,2,5,0,2,4,2,0
97,1,3,1,1,5,0,0,4,0,1
98,1,1,0,2,3,0,2,4,2,0
99,0,3,1,3,4,0,0,1,0,1
100,0,1,0,1,6,0,0,1,0,1
101,0,3,0,1,6,0,0,2,0,1
102,0,3,0,1,5,0,0,1,0,1
103,0,3,0,1,4,0,0,2,0,1
104,0,1,0,1,5,0,0,3,0,1
105,0,3,0,1,5,0,0,1,0,1
106,0,3,0,3,6,0,0,1,0,1
107,0,3,1,1,6,0,0,1,0,1
108,1,1,1,2,5,1,0,4,1,0
109,0,3,0,1,4,0,0,1,0,1
110,0,3,0,3,6,0,0,1,0,1
111,1,1,1,1,5,0,0,4,0,1
112,1,2,1,2,4,1,0,3,1,0
113,0,3,0,1,3,1,0,1,1,0
114,0,3,1,1,1,0,1,2,1,0
115,0,3,1,2,6,0,1,2,1,0
116,0,3,0,1,3,0,0,2,0,1
117,1,1,1,1,3,0,2,4,2,0
118,0,3,0,1,3,2,0,2,2,0
119,0,3,0,1,6,0,0,1,0,1
120,1,2,1,1,5,1,2,3,3,0
121,0,1,0,2,6,1,0,4,1,0
122,0,3,0,1,3,0,0,2,0,1
123,0,3,0,2,3,0,0,1,0,1
124,0,3,0,1,5,0,0,1,0,1
125,1,2,1,1,1,2,1,4,3,0
126,0,3,0,1,4,0,0,1,0,1
127,0,3,0,1,6,0,0,3,0,1
128,1,1,1,2,5,0,0,4,0,1
129,0,3,1,1,5,0,0,1,0,1
130,0,2,0,1,5,0,0,2,0,1
131,0,3,0,2,3,0,0,2,0,1
132,0,3,1,2,3,0,0,2,0,1
133,1,3,1,3,5,0,0,1,0,1
134,1,2,1,1,6,0,0,3,0,1
135,1,3,0,1,6,0,0,2,0,1
136,0,3,0,1,6,1,4,3,5,0
137,0,3,0,1,6,0,0,1,0,1
138,1,1,0,2,5,0,0,3,0,1
139,1,3,0,1,5,0,0,2,0,1
140,0,3,1,3,3,0,0,1,0,1
141,0,1,0,1,3,0,0,3,0,1
142,0,3,0,1,5,0,0,1,0,1
143,0,1,0,1,4,1,0,4,1,0
144,0,2,0,1,6,0,0,2,0,1
145,1,1,1,1,5,1,0,4,1,0
146,0,3,0,1,5,0,0,1,0,1
147,0,3,0,1,3,0,0,1,0,1
148,0,3,0,1,5,0,0,2,0,1
149,0,2,0,1,6,0,0,2,0,1
150,1,1,0,1,6,0,0,3,0,1
151,1,1,1,2,6,1,1,4,2,0
152,0,3,0,1,4,0,0,3,0,1
153,0,2,0,1,4,0,0,2,0,1
154,0,3,0,1,6,3,1,3,4,0
155,1,3,1,2,4,1,1,3,2,0
156,1,1,1,2,5,0,0,4,0,1
157,0,3,0,1,4,0,0,2,0,1
158,0,3,0,2,6,0,0,1,0,1
159,1,3,1,3,6,0,0,1,0,1
160,0,3,0,3,5,0,0,1,0,1
161,0,3,0,1,6,0,0,2,0,1
162,0,3,0,1,3,0,0,1,0,1
163,0,3,0,1,6,0,0,2,0,1
164,0,2,0,1,5,0,0,2,0,1
165,0,3,0,1,4,0,0,1,0,1
166,0,3,0,1,6,0,0,1,0,1
167,0,3,0,1,5,1,0,3,1,0
168,0,3,0,1,4,0,0,2,0,1
169,0,2,0,1,5,0,0,2,0,1
170,0,1,0,1,3,0,0,4,0,1
171,1,3,0,1,6,0,0,2,0,1
172,0,3,1,2,3,1,0,2,1,0
173,0,2,0,2,6,0,0,3,0,1
174,0,3,1,1,4,2,2,4,4,0
175,0,3,0,2,6,1,0,2,1,0
176,0,3,0,3,5,0,0,1,0,1
177,0,3,0,1,6,0,0,1,0,1
178,0,3,0,1,4,0,0,1,0,1
179,1,2,1,1,3,0,1,3,1,0
180,1,3,0,3,6,0,0,1,0,1
181,1,1,1,2,4,0,0,4,0,1
182,0,1,0,1,6,0,0,3,0,1
183,0,3,0,3,2,4,1,3,5,0
184,0,2,0,1,4,0,0,2,0,1
185,0,3,0,1,1,4,2,4,6,0
186,0,3,0,1,4,1,0,3,1,0
187,0,3,1,3,3,0,0,1,0,1
188,0,1,0,1,6,0,0,3,0,1
189,1,3,0,1,1,1,2,3,3,0
190,0,2,0,1,5,1,0,3,1,0
191,1,3,1,3,6,0,0,1,0,1
192,1,3,1,1,3,0,0,2,0,1
193,1,3,1,1,4,0,0,1,0,1
194,0,2,0,1,4,0,0,2,0,1
195,1,3,1,2,1,0,2,3,2,0
196,0,3,1,1,6,1,4,3,5,0
197,0,1,0,1,6,0,0,3,0,1
198,1,2,0,1,2,0,2,4,2,0
199,1,1,1,2,6,0,0,4,0,1
200,0,2,0,1,5,0,0,2,0,1
201,0,1,0,2,7,0,0,4,0,1
202,0,1,0,1,7,0,0,4,0,1
203,1,2,0,1,1,1,1,3,2,0
204,0,1,0,1,5,1,2,4,3,0
205,1,3,0,1,4,0,0,1,0,1
206,0,2,0,1,4,2,0,4,2,0
207,0,1,0,1,7,0,0,3,0,1
208,0,1,0,2,4,0,0,3,0,1
209,0,3,0,1,5,1,0,3,1,0
210,0,2,0,1,5,0,0,2,0,1
211,1,3,1,3,4,0,0,1,0,1
212,0,3,0,1,5,0,0,1,0,1
213,0,2,0,1,6,1,0,3,1,0
214,0,2,0,1,6,0,0,3,0,1
215,0,3,0,1,4,0,0,2,0,1
216,0,1,0,1,6,0,0,4,0,1
217,0,3,0,1,6,0,0,2,0,1
218,0,1,0,2,6,0,0,4,0,1
219,0,3,0,3,5,1,0,1,1,0
220,1,2,1,1,6,0,0,2,0,1
221,0,1,0,2,5,0,0,4,0,1
222,1,3,1,1,5,1,2,3,3,0
223,1,3,0,1,5,0,0,1,0,1
224,1,1,1,2,7,0,2,4,2,0
225,0,1,0,1,6,0,0,1,0,1
226,0,1,0,1,7,1,4,4,5,0
227,1,1,1,1,3,1,0,4,1,0
228,0,3,0,1,5,0,0,1,0,1
229,0,2,0,1,5,0,0,2,0,1
230,1,2,1,1,5,0,0,2,0,1
231,0,3,0,1,4,0,0,2,0,1
232,0,3,0,3,3,0,0,1,0,1
233,1,2,0,1,1,2,1,4,3,0
234,0,3,0,1,6,0,0,2,0,1
235,0,3,1,3,6,0,0,1,0,1
236,1,2,0,1,1,0,2,3,2,0
237,0,2,0,1,6,0,1,3,1,0
238,0,3,0,1,5,0,0,4,0,1
239,0,3,0,1,5,0,0,1,0,1
240,1,2,1,1,5,1,0,3,1,0
241,1,1,0,2,6,1,0,4,1,0
242,1,1,1,1,7,1,0,4,1,0
243,0,3,1,1,6,8,2,4,10,0
244,0,1,0,2,6,1,1,4,2,0
245,0,3,0,1,5,0,0,1,0,1
246,1,2,0,1,2,1,1,4,2,0
247,1,3,1,3,6,0,0,1,0,1
248,1,3,1,3,6,1,0,3,1,0
249,0,3,0,1,4,0,0,1,0,1
250,1,3,1,1,5,0,2,2,2,0
251,0,2,1,1,5,1,1,3,2,0
252,0,3,0,1,4,0,0,1,0,1
253,0,3,0,1,2,3,2,3,5,0
254,0,3,0,3,4,0,0,2,0,1
255,0,2,0,1,5,0,0,2,0,1
256,1,3,1,1,5,0,0,1,0,1
257,0,3,0,1,6,0,0,2,0,1
258,0,3,0,1,4,0,0,1,0,1
259,0,3,1,1,3,0,0,2,0,1
260,0,3,0,2,5,0,0,1,0,1
261,1,2,1,1,2,0,2,3,2,0
262,0,3,0,1,5,2,0,2,2,0
263,0,1,0,2,6,0,1,3,1,0
264,0,3,0,3,5,0,0,1,0,1
265,1,1,0,1,5,0,0,4,0,1
266,0,3,0,1,2,4,1,4,5,0
267,1,3,1,2,5,1,0,4,1,0
268,1,1,0,1,5,0,0,3,0,1
269,0,3,0,1,3,8,2,4,10,0
270,0,3,0,1,4,0,0,1,0,1
271,1,3,0,1,5,0,0,1,0,1
272,0,1,0,2,6,1,1,4,2,0
273,0,2,0,1,6,0,0,2,0,1
274,1,2,0,1,4,0,0,2,0,1
275,1,3,0,2,2,1,1,3,2,0
276,0,3,0,1,5,0,0,1,0,1
277,0,3,0,2,5,0,0,1,0,1
278,1,2,1,1,6,1,0,3,1,0
279,0,1,0,1,6,0,0,3,0,1
280,1,1,0,1,6,0,0,3,0,1
281,0,2,0,1,6,0,0,2,0,1
282,0,3,1,1,5,0,4,3,4,0
283,0,3,0,1,4,0,0,3,0,1
284,0,2,0,1,4,1,0,2,1,0
285,0,3,0,1,6,0,0,1,0,1
286,1,3,1,1,6,1,5,4,6,0
287,1,1,1,1,6,2,0,4,2,0
288,1,2,1,1,5,0,1,3,1,0
289,1,3,1,3,3,0,0,2,0,1
290,0,1,0,1,6,0,0,4,0,1
291,0,1,0,1,6,0,0,4,0,1
292,1,1,0,1,6,0,0,3,0,1
293,1,1,1,1,3,1,2,4,3,0
294,1,3,0,1,5,0,0,1,0,1
295,1,2,1,1,3,0,1,4,1,0
296,0,1,0,1,5,0,0,4,0,1
297,1,3,1,2,4,0,0,1,0,1
298,1,2,1,1,5,0,0,2,0,1
299,0,1,0,2,5,0,0,3,0,1
300,1,3,0,1,5,0,0,2,0,1
301,0,3,0,1,6,2,0,2,2,0
302,0,2,0,1,3,0,0,4,0,1
303,1,1,1,2,6,0,0,4,0,1
304,0,3,0,1,2,5,2,4,7,0
305,0,3,0,3,4,0,0,1,0,1
306,1,2,1,1,6,0,1,3,1,0
307,1,3,0,1,4,0,0,1,0,1
308,1,3,0,3,3,0,0,1,0,1
309,1,1,1,1,6,1,0,4,1,0
310,1,1,0,2,6,0,0,3,0,1
311,1,3,1,3,4,2,0,3,2,0
312,1,1,0,1,6,0,0,3,0,1
313,0,3,0,3,6,1,0,3,1,0
314,0,2,0,1,5,0,0,2,0,1
315,1,3,1,1,5,0,0,2,0,1
316,0,3,0,1,6,0,2,3,2,0
317,0,3,1,3,3,0,0,1,0,1
318,1,3,0,1,5,0,0,1,0,1
319,0,3,0,2,4,0,0,1,0,1
320,0,3,0,1,3,0,0,2,0,1
321,1,1,1,1,6,1,1,4,2,0
322,1,3,1,1,5,3,0,3,3,0
323,0,3,0,1,6,0,0,1,0,1
324,0,3,1,1,2,5,2,4,7,0
325,1,1,1,1,4,0,0,3,0,1
326,1,1,1,2,5,0,0,3,0,1
327,1,1,1,1,6,1,2,4,3,0
328,0,1,0,1,6,1,0,4,1,0
329,1,1,1,1,3,0,0,4,0,1
330,1,3,0,1,2,0,1,1,1,0
331,0,3,0,1,5,0,0,2,0,1
332,0,3,0,1,5,0,0,2,0,1
333,1,3,1,2,5,0,2,3,2,0
334,1,3,1,1,4,0,0,1,0,1
335,1,3,0,1,5,0,0,1,0,1
336,1,2,1,1,4,1,0,4,1,0
337,0,3,0,1,1,3,2,3,5,0
338,1,1,1,1,6,1,1,4,2,0
339,0,3,0,1,3,0,0,2,0,1
340,0,3,0,1,5,0,0,1,0,1
341,1,1,1,2,5,0,0,4,0,1
342,0,3,0,1,4,0,0,1,0,1
343,0,1,0,2,6,0,1,4,1,0
344,1,2,1,2,1,1,2,4,3,0
345,0,1,0,1,6,0,0,3,0,1
346,1,1,0,1,2,1,2,4,3,0
347,0,1,0,1,3,0,0,4,0,1
348,1,1,0,2,6,0,1,4,1,0
349,0,3,0,2,5,0,0,1,0,1
350,0,2,0,1,5,0,0,2,0,1
351,0,3,0,3,4,0,0,3,0,1
352,0,3,0,1,4,0,0,1,0,1
353,0,3,0,3,6,0,0,1,0,1
354,0,3,0,1,5,0,0,2,0,1
355,0,2,0,1,5,0,0,2,0,1
356,0,2,0,1,5,0,0,1,0,1
357,1,1,1,1,5,0,0,4,0,1
358,0,1,0,2,6,0,0,3,0,1
359,1,2,1,2,4,1,2,4,3,0
360,0,3,0,2,6,0,0,1,0,1
361,0,3,1,1,5,0,0,1,0,1
362,0,3,0,3,5,0,0,1,0,1
363,1,2,0,1,4,0,0,2,0,1
364,0,3,0,2,3,0,0,1,0,1
365,1,1,1,1,4,0,0,4,0,1
366,1,3,0,1,5,0,0,4,0,1
367,0,3,0,1,4,0,0,1,0,1
368,1,1,1,2,6,0,0,4,0,1
369,0,3,0,1,3,0,0,2,0,1
370,0,3,0,2,5,0,0,1,0,1
371,0,1,0,1,6,0,1,4,1,0
372,1,3,1,2,5,1,0,2,1,0
373,1,1,0,1,4,1,0,4,1,0
374,1,2,0,1,4,0,0,2,0,1
375,1,2,1,1,5,1,0,3,1,0
376,1,3,1,1,4,0,0,1,0,1
377,0,3,0,1,3,4,1,4,5,0
378,1,3,0,3,5,0,0,1,0,1
379,0,3,0,1,3,1,0,3,1,0
380,0,3,1,3,4,1,0,3,1,0
381,0,3,0,3,7,0,0,1,0,1
382,0,3,0,1,4,0,0,1,0,1
383,0,2,0,2,6,0,0,2,0,1
384,0,3,1,1,6,1,6,4,7,0
385,0,2,0,1,4,1,0,2,1,0
386,0,2,1,1,6,1,0,3,1,0
387,0,3,0,1,5,0,0,2,0,1
388,1,1,1,1,6,0,1,4,1,0
389,1,3,1,2,2,1,1,3,2,0
390,0,2,0,1,5,0,0,2,0,1
391,0,3,0,3,7,0,0,1,0,1
392,1,3,1,3,3,0,0,1,0,1
393,0,1,0,1,6,0,0,3,0,1
394,0,2,0,1,5,0,0,2,0,1
395,0,3,0,1,4,0,0,1,0,1
396,0,3,1,1,4,1,0,2,1,0
397,0,2,0,2,5,1,2,4,3,0
398,0,3,1,1,4,0,0,2,0,1
399,0,3,0,1,3,0,0,2,0,1
400,1,1,1,2,4,0,0,4,0,1
401,0,3,0,1,5,0,0,1,0,1
402,0,2,0,1,5,1,0,3,1,0
403,1,2,1,1,5,0,2,3,2,0
404,0,3,1,1,5,1,1,3,2,0
405,0,2,1,1,5,1,0,3,1,0
406,0,3,0,1,5,1,1,3,2,0
407,0,1,0,3,6,2,0,4,2,0
408,1,1,1,1,6,0,0,3,0,1
409,0,3,0,1,4,0,0,2,0,1
410,0,1,0,2,5,1,0,4,1,0
411,0,2,0,1,4,2,0,4,2,0
412,0,3,0,1,4,0,0,2,0,1
413,1,1,1,1,5,0,0,4,0,1
414,0,3,0,1,5,0,0,1,0,1
415,0,3,0,1,4,0,0,2,0,1
416,0,1,0,2,6,1,1,4,2,0
417,0,3,0,2,3,0,0,1,0,1
418,0,3,0,1,6,0,0,1,0,1
419,0,3,0,1,5,0,0,1,0,1
420,0,3,0,1,5,0,0,1,0,1
421,0,3,1,1,4,0,0,2,0,1
422,0,3,0,1,5,0,0,1,0,1
423,1,3,1,3,4,0,0,1,0,1
424,1,1,1,2,6,1,1,4,2,0
425,0,3,0,3,5,0,0,1,0,1
426,0,2,0,2,5,1,0,3,1,0
427,1,1,0,2,4,0,1,4,1,0
428,1,3,0,3,5,0,0,1,0,1
429,0,3,0,1,4,0,0,1,0,1
430,1,1,0,2,5,0,0,3,0,1
431,0,3,1,1,6,1,2,3,3,0
432,0,3,0,1,5,0,0,2,0,1
433,1,3,1,3,3,0,0,1,0,1
434,0,3,0,1,2,4,2,4,6,0
435,0,3,0,1,6,0,0,1,0,1
436,1,2,0,1,5,0,0,2,0,1
437,1,1,1,2,3,1,0,4,1,0
438,0,3,1,1,1,1,1,2,2,0
439,0,1,0,1,3,0,0,4,0,1
440,0,3,0,1,3,2,2,4,4,0
441,0,2,0,1,6,1,0,3,1,0
442,1,3,1,1,4,0,0,2,0,1
443,0,3,0,1,4,0,0,1,0,1
444,0,2,0,1,4,2,0,4,2,0
445,0,2,0,1,6,0,0,2,0,1
446,0,3,0,3,2,4,1,3,5,0
447,0,3,0,2,5,1,0,3,1,0
448,0,3,0,2,4,0,0,1,0,1
449,0,3,0,1,5,0,0,1,0,1
450,1,1,0,2,2,0,2,4,2,0
451,0,3,1,1,2,4,2,3,6,0
452,1,3,0,1,2,0,2,3,2,0
453,0,3,1,1,3,3,1,3,4,0
454,1,1,1,1,5,0,0,4,0,1
455,0,3,1,3,5,0,0,2,0,1
456,1,3,1,2,4,1,1,3,2,0
457,1,1,1,1,4,0,0,3,0,1
458,0,1,0,2,5,1,0,4,1,0
459,0,3,0,1,3,0,0,1,0,1
460,0,3,0,1,5,0,0,2,0,1
461,0,3,0,1,4,2,0,3,2,0
462,0,3,1,1,3,0,0,1,0,1
463,1,1,1,1,6,1,1,4,2,0
464,1,2,1,1,3,0,2,4,2,0
465,1,2,1,1,5,1,0,3,1,0
466,1,3,1,1,3,0,1,3,1,0
467,1,1,1,2,6,0,1,4,1,0
468,0,2,0,1,6,0,0,2,0,1
469,0,3,0,1,6,0,0,2,0,1
470,0,3,0,1,4,0,0,2,0,1
471,0,1,0,1,5,0,0,4,0,1
472,1,3,1,1,5,0,0,2,0,1
473,0,3,0,1,5,0,0,2,0,1
474,0,3,0,1,5,0,0,2,0,1
475,1,3,1,1,3,0,0,1,0,1
476,0,3,0,1,2,5,2,4,7,0
477,0,3,0,1,6,0,0,1,0,1
478,1,1,1,2,4,1,0,4,1,0
479,0,3,0,1,3,0,0,2,0,1
480,0,3,1,1,4,0,0,2,0,1
481,1,3,1,3,4,0,0,1,0,1
482,0,3,1,1,3,1,0,3,1,0
483,0,1,0,2,6,0,0,4,0,1
484,0,3,0,2,5,0,0,1,0,1
485,1,1,0,2,6,0,0,4,0,1
486,1,2,1,1,4,2,3,3,5,0
487,0,3,1,1,3,8,2,4,10,0
488,0,1,0,1,7,1,1,4,2,0
489,0,3,0,1,4,0,0,1,0,1
490,0,2,0,1,6,1,0,3,1,0
491,0,3,0,1,4,0,0,2,0,1
492,1,1,0,2,5,1,0,4,1,0
493,0,2,0,1,6,1,1,4,2,0
494,0,3,0,1,6,0,0,1,0,1
495,1,1,1,2,6,0,0,4,0,1
496,0,2,0,1,4,0,0,4,0,1
497,0,3,0,1,6,0,0,1,0,1
498,0,2,0,1,5,0,0,2,0,1
499,0,3,0,2,4,2,0,3,2,0
500,0,3,0,1,4,1,2,3,3,0
501,0,3,0,2,3,1,0,2,1,0
502,0,3,0,1,5,0,0,2,0,1
503,1,3,0,1,1,1,1,2,2,0
504,0,3,0,1,4,0,0,3,0,1
505,0,3,1,1,4,1,0,2,1,0
506,0,2,0,1,3,0,0,2,0,1
507,0,2,0,1,4,2,1,2,3,0
508,0,3,1,1,2,3,1,3,4,0
509,1,3,1,2,3,0,0,1,0,1
510,0,3,0,2,5,0,0,1,0,1
511,1,3,0,1,6,0,0,2,0,1
512,1,1,1,1,6,1,4,4,5,0
513,0,3,0,2,5,1,0,2,1,0
514,1,1,1,2,6,1,0,4,1,0
515,0,2,0,1,6,1,1,3,2,0
516,0,3,0,1,6,0,0,1,0,1
517,1,1,1,1,5,1,0,4,1,0
518,1,3,0,2,3,1,1,3,2,0
519,0,3,0,1,4,0,0,1,0,1
520,0,3,0,1,4,0,0,1,0,1
521,1,2,1,1,6,0,0,2,0,1
522,0,3,1,1,3,2,0,3,2,0
523,1,3,1,1,3,0,1,2,1,0
524,0,3,0,1,5,0,0,2,0,1
525,1,2,1,1,6,1,1,3,2,0
526,1,1,1,1,6,2,0,4,2,0
527,0,2,0,1,4,0,0,2,0,1
528,0,3,0,2,6,1,0,2,1,0
529,0,3,0,1,7,0,0,1,0,1
530,1,1,0,1,6,0,0,1,0,1
531,1,2,1,1,4,0,0,2,0,1
532,1,2,1,1,5,0,1,3,1,0
533,0,1,0,1,5,0,0,3,0,1
534,0,3,0,1,6,0,0,1,0,1
535,0,3,0,1,4,0,0,1,0,1
536,1,3,1,3,6,2,0,3,2,0
537,1,3,1,1,5,1,1,3,2,0
538,1,1,1,1,3,1,0,4,1,0
539,0,1,0,1,4,0,0,1,0,1
540,0,3,0,1,3,0,0,1,0,1
541,0,3,0,1,6,0,0,1,0,1
542,0,3,0,1,6,0,0,2,0,1
543,0,2,0,1,7,0,0,2,0,1
544,0,3,0,1,6,0,0,2,0,1
545,0,3,1,1,2,0,2,3,2,0
546,1,3,0,2,5,0,0,1,0,1
547,0,1,0,2,7,1,0,4,1,0
548,1,1,0,1,6,0,0,3,0,1
549,0,3,0,1,4,0,0,2,0,1
550,0,3,0,1,6,0,0,1,0,1
551,0,3,1,1,6,1,2,3,3,0
552,1,1,1,1,5,1,0,4,1,0
553,1,2,0,1,1,1,1,3,2,0
554,1,2,1,1,6,0,0,2,0,1
555,0,3,0,1,4,0,0,2,0,1
556,0,2,0,1,6,0,2,3,2,0
557,0,3,1,3,6,0,0,1,0,1
558,0,3,1,1,1,1,1,2,2,0
559,0,2,0,1,6,1,2,3,3,0
560,0,3,0,1,4,0,0,1,0,1
561,0,3,0,1,5,0,0,2,0,1
562,0,3,1,1,5,1,1,2,2,0
563,0,2,0,1,6,0,0,2,0,1
564,1,3,1,2,3,0,0,1,0,1
565,1,1,1,1,6,0,1,4,1,0
566,0,3,0,1,3,0,0,1,0,1
567,1,2,0,1,1,1,1,3,2,0
568,0,3,0,1,5,0,0,1,0,1
569,1,1,1,1,5,1,0,4,1,0
570,1,1,1,1,5,0,0,4,0,1
571,0,2,0,1,5,0,0,2,0,1
572,0,1,0,2,6,0,2,4,2,0
573,0,3,0,1,6,0,0,2,0,1
574,1,3,0,2,1,0,1,2,1,0
575,0,3,1,1,1,4,2,3,6,0
576,0,3,0,1,2,1,1,3,2,0
577,1,2,1,1,6,0,0,2,0,1
578,1,1,0,1,5,1,0,4,1,0
579,0,3,0,1,4,0,0,2,0,1
580,0,3,0,1,6,0,0,2,0,1
581,1,1,1,2,6,0,1,4,1,0
582,0,1,0,1,4,0,0,4,0,1
583,0,3,0,1,3,0,0,2,0,1
584,1,1,1,2,6,1,1,4,2,0
585,0,3,0,2,5,0,0,1,0,1
586,1,3,1,1,6,1,0,3,1,0
587,0,3,0,1,5,0,0,1,0,1
588,1,3,1,1,3,0,0,1,0,1
589,0,1,0,1,5,0,0,3,0,1
590,1,3,1,1,7,0,0,2,0,1
591,1,1,1,2,5,0,0,4,0,1
592,1,1,1,2,6,1,0,4,1,0
593,1,3,0,1,5,0,0,2,0,1
594,1,3,0,1,1,4,2,4,6,0
595,1,1,1,1,3,1,0,4,1,0
596,1,3,1,1,1,1,1,2,2,0
597,0,3,0,3,3,0,0,3,0,1
598,0,3,1,1,4,1,0,3,1,0
599,0,3,0,1,4,0,0,2,0,1
600,0,3,0,1,5,0,0,1,0,1
601,0,3,0,3,6,1,1,3,2,0
602,1,3,1,1,4,0,2,3,2,0
603,0,1,0,1,6,1,0,4,1,0
604,1,3,1,2,1,0,1,2,1,0
605,0,3,0,1,5,0,0,1,0,1
606,0,3,0,1,4,8,2,4,10,0
607,1,1,1,2,5,0,0,4,0,1
608,0,3,0,1,5,0,0,1,0,1
609,0,3,0,3,5,0,0,1,0,1
610,0,3,1,1,2,4,2,3,6,0
611,1,3,0,2,4,1,1,3,2,0
612,0,1,1,2,6,0,0,3,0,1
613,0,3,0,2,2,0,0,3,0,1
614,0,3,0,1,5,0,0,2,0,1
615,0,3,0,1,5,3,0,3,3,0
616,0,3,0,3,5,0,0,1,0,1
617,0,3,0,1,5,0,0,2,0,1
618,0,3,0,1,6,0,0,2,0,1
619,1,2,1,1,2,0,0,3,0,1
620,0,3,0,3,5,0,0,1,0,1
621,0,1,0,2,6,1,0,4,1,0
622,0,1,0,1,6,0,0,3,0,1
623,0,3,0,1,5,0,0,2,0,1
624,1,1,1,2,4,0,0,4,0,1
625,1,1,0,2,6,1,0,4,1,0
626,0,3,0,1,6,0,0,1,0,1
627,1,1,1,2,6,1,0,4,1,0
628,0,3,1,1,5,1,0,2,1,0
629,0,3,0,1,5,2,0,2,2,0
630,0,3,1,1,1,3,2,3,5,0
631,0,3,0,1,3,0,0,1,0,1
